Descending order
N;First;Middle;Last;Random;O(nLog(n))
8;64;52;64;55;24
16;196;112;196;124;64
32;652;255;652;288;160
64;2332;567;2332;615;384
128;8764;1270;8764;1430;896
256;33916;2784;33916;3224;2048
512;133372;6075;133372;8920;4608
1024;528892;13163;528892;15639;10240
2048;2106364;28378;2106364;37986;22528
4096;8407036;60836;8407036;79485;49152


Ascending order
N;First;Middle;Last;Random;O(nLog(n))
8;63;52;64;52;24
16;195;112;196;123;64
32;651;255;652;273;160
64;2331;567;2332;627;384
128;8763;1270;8764;1375;896
256;33915;2784;33916;3236;2048
512;133371;6075;133372;7014;4608
1024;528891;13163;528892;15769;10240
2048;2106363;28378;2106364;35821;22528
4096;8407035;60836;8407036;75304;49152


Random order
N;First;Middle;Last;Random;O(nLog(n))
8;45;43;42;42;24
16;108;102;122;114;64
32;272;290;290;278;160
64;679;666;666;627;384
128;1487;1479;1610;1591;896
256;3629;3547;3561;3564;2048
512;8152;7971;7984;8223;4608
1024;18109;18377;18496;19345;10240
2048;40078;41033;38644;39907;22528
4096;90312;84488;92054;89191;49152


Homogeneous order
N;First;Middle;Last;Random;O(nLog(n))
8;63;63;63;63;24
16;195;195;195;195;64
32;651;651;651;651;160
64;2331;2331;2331;2331;384
128;8763;8763;8763;8763;896
256;33915;33915;33915;33915;2048
512;133371;133371;133371;133371;4608
1024;528891;528891;528891;528891;10240
2048;2106363;2106363;2106363;2106363;22528
4096;8407035;8407035;8407035;8407035;49152
